Food,Bi_category,Tag,Unit,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,GI,GI_level
Beans,Vegetables,2,100g,100,20.0,0.8,0,0,0.64,4.8,,low
Beet greens,Vegetables,2,100g,100,27.0,2,0,0,1.4,6,,low
Beet greens,Vegetables,5,100g,100,27.0,2,0,0,1.4,6,,low
Beetroots,Vegetables,2,100g,100,0.6,7.23,0,0,0,0.64,,low
Beetroots,Vegetables,5,100g,100,0.6,7.23,0,0,0,0.64,,low
Broccoli,Vegetables,2,100g,100,30.0,3.33,0,0,1.27,5.33,,low
Broccoli,Vegetables,5,100g,100,30.0,3.33,0,0,1.27,5.33,30.0,low
Carrots,Vegetables,1,100g,100,30.0,0.67,0,0,0.6,6.67,24.0,low
Carrots,Vegetables,5,100g,100,30.0,0.67,0,0,0.6,6.67,25.0,low
Cauliflower,Vegetables,2,100g,100,25.0,2.5,0,0,0.83,5,,low
Cauliflower,Vegetables,4,100g,100,25.0,2.5,0,0,0.83,5,,low
Cauliflower,Vegetables,5,100g,100,25.0,2.5,0,0,0.83,5,15.0,low
Celery,Vegetables,1,100g,100,20.0,1,0,0,1,4,15.0,low
Celery,Vegetables,5,100g,100,20.0,1,0,0,1,4,15.0,low
Chard steamed,Vegetables,0,100g,100,20.0,1.33,0,0,0.93,4.67,15.0,low
Collards,Vegetables,1,100g,100,34.0,3.33,0,0,1.33,5.33,15.0,low
Collards,Vegetables,5,100g,100,34.0,3.33,0,0,1.33,5.33,15.0,low
Corn,Vegetables,2,100g,100,92.0,3,1,0,0.8,21,55.0,high
Cucumbers,Vegetables,1,100g,100,12.0,0,0,0,0.4,2,15.0,low
Cucumbers,Vegetables,5,100g,100,12.0,0,0,0,0.4,2,15.0,low
Dandelion greens,Vegetables,1,100g,100,44.44,2.78,0.56,0,1.78,8.89,15.0,low
Dandelion greens,Vegetables,5,100g,100,44.44,2.78,0.56,0,1.78,8.89,15.0,low
Eggplant,Vegetables,2,100g,100,16.67,1.11,0,0,0.56,5,15.0,low
"Fresh, steamed peas",Vegetables,0,100g,100,70.0,5,0,0,2.2,12,15.0,low
Iceberg,Vegetables,1,100g,100,13.0,0,0,0,0.5,3,15.0,low
Iceberg,Vegetables,5,100g,100,13.0,0,0,0,0.5,3,15.0,low
Kale,Vegetables,1,100g,100,40.91,3.64,0.91,0,0.82,7.27,15.0,low
Kale,Vegetables,5,100g,100,40.91,3.64,0.91,0,0.82,7.27,15.0,low
Lentils,Vegetables,2,100g,100,106.0,7.5,0,0,1.2,19,32.0,low
Lettuce,Vegetables,1,100g,100,14.0,1,0,0,0.5,2,15.0,low
Lettuce,Vegetables,5,100g,100,14.0,1,0,0,0.5,2,15.0,low
Mushrooms canned,Vegetables,0,100g,100,10.0,1.66,0,0,0,3.34,,low
Okra,Vegetables,2,100g,100,32.0,1,0,0,1,7,15.0,low
Onions,Vegetables,1,100g,100,38.1,0.95,0,0,0.76,8.57,15.0,low
Onions,Vegetables,5,100g,100,38.1,0.95,0,0,0.76,8.57,15.0,low
Parsley,Vegetables,1,100g,100,4.0,0,0,0,0,0,15.0,low
Parsley,Vegetables,5,100g,100,4.0,0,0,0,0,0,15.0,low
Parsnips,Vegetables,1,100g,100,61.29,1.29,0.65,0,1.94,14.19,15.0,low
Parsnips,Vegetables,5,100g,100,61.29,1.29,0.65,0,1.94,14.19,15.0,low
Peas,Vegetables,2,100g,100,66.0,3,0,0,0.1,13,54.0,low
"Peppers Raw, green, sweet",Vegetables,1,100g,100,25.0,1,0,0,1.4,6,15.0,low
"Peppers Raw, green, sweet",Vegetables,5,100g,100,25.0,1,0,0,1.4,6,15.0,low
Potatoes Mashed with milk and butter,Vegetables,0,100g,100,115.0,2,6,5.5,0.35,14,73.0,high
"Potatoes, baked",Vegetables,0,100g,100,100.0,2,0,0,0.5,22,78.0,high
"Potatoes, pan-tried",Vegetables,0,100g,100,268.0,4,14,6,0.4,33,93.0,high
Radishes,Vegetables,2,100g,100,20.0,0,0,0,0.6,4,26.0,low
Red kidney,Vegetables,2,100g,100,88.46,5.77,0.38,0,0.96,16.15,24.0,low
Rutabagas,Vegetables,1,100g,100,32.0,0,0,0,1.4,8,26.0,low
Rutabagas,Vegetables,5,100g,100,32.0,0,0,0,1.4,8,26.0,low
Soybeans,Vegetables,2,100g,100,130.0,11,5.5,0,1.6,10,18.0,low
Spinach,Vegetables,1,100g,100,26.0,3,0,0,1,3,15.0,low
Spinach,Vegetables,5,100g,100,26.0,3,0,0,1,3,15.0,low
Squash,Vegetables,3,100g,100,16.67,0.48,0,0,0.29,3.81,64.0,mid
Squash,Vegetables,4,100g,100,16.67,0.48,0,0,0.29,3.81,64.0,mid
Steamed cabbage,Vegetables,0,100g,100,23.53,1.18,0,0,0.76,5.29,15.0,low
Sweet potatoes,Vegetables,3,100g,100,140.91,1.82,0.91,0,0.91,32.73,61.0,mid
Sweet potatoes,Vegetables,4,100g,100,140.91,1.82,0.91,0,0.91,32.73,94.0,high
Tomatoes,Vegetables,1,100g,100,20.83,0.83,0,0,0.42,3.75,15.0,low
Tomatoes,Vegetables,5,100g,100,20.83,0.83,0,0,0.42,3.75,15.0,low
"Turnips, steamed",Vegetables,0,100g,100,25.81,0.65,0,0,1.16,5.81,26.0,low
