Food,,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category,,bi_category,Tag,1_unit,1_grams,1_Calories,1_Protein,1_Fat,1_Sat.Fat,1_Fiber,1_Carbs,GI,GI_level
Tuna,,3 oz.,85,170,25,7,3,0,0,"Fish, Seafood",,seafood,2,3 oz.,85,170,25,7,3,0,0,,low
Clams,,3 oz.,85,87,12,1,0,0,2,"Fish, Seafood",,seafood,3,3 oz.,85,87,12,1,0,0,2,,low
Cod,,3 1/2 oz.,100,170,28,5,0,0,0,"Fish, Seafood",,seafood,3,3.5 oz.,100,170,28,5,0,0,0,,low
Crab meat,,3 oz.,85,90,14,2,0,0,1,"Fish, Seafood",,seafood,3,3 oz.,85,90,14,2,0,0,1,,low
Flounder,,3 1/2 oz.,100,200,30,8,0,0,0,"Fish, Seafood",,seafood,3,3.5 oz.,100,200,30,8,0,0,0,,low
Haddock,,3 oz.,85,135,16,5,4,0,6,"Fish, Seafood",,seafood,3,3 oz.,85,135,16,5,4,0,6,,low
Halibut,,3 1/2 oz.,100,182,26,8,0,0,0,"Fish, Seafood",,seafood,3,3.5 oz.,100,182,26,8,0,0,0,,low
Herring,,1 small,100,211,22,13,0,0,0,"Fish, Seafood",,seafood,3,1 small,100,211,22,13,0,0,0,,low
Lobster,,aver.,100,92,18,1,0,0,t,"Fish, Seafood",,seafood,3,100g,100,92,18,1,0,0,#VALUE!,,low
Mackerel,,3 oz.,85,155,18,9,0,a,0,"Fish, Seafood",,seafood,3,3 oz.,85,155,18,9,0,#VALUE!,0,,low
Salmon,,3 oz.,85,120,17,5,1,0,0,"Fish, Seafood",,seafood,3,3 oz.,85,120,17,5,1,0,0,,low
Sardines,,3 oz.,85,180,22,9,4,0,0,"Fish, Seafood",,seafood,3,3 oz.,85,180,22,9,4,0,0,,low
Scallops,,3 1/2 oz.,100,104,18,8,0,0,10,"Fish, Seafood",,seafood,3,3.5 oz.,100,104,18,8,0,0,10,,low
Shad,,3 oz.,85,170,20,10,0,0,0,"Fish, Seafood",,seafood,3,3 oz.,85,170,20,10,0,0,0,,low
Shrimp,,3 oz.,85,110,23,1,0,0,0,"Fish, Seafood",,seafood,3,3 oz.,85,110,23,1,0,0,0,,low
Swordfish,,1 steak,100,180,27,6,0,0,0,"Fish, Seafood",,seafood,3,100g,100,180,27,6,0,0,0,,low
Tuna,,3 oz.,85,170,25,7,3,0,0,"Fish, Seafood",,seafood,3,3 oz.,85,170,25,7,3,0,0,,low
Clams,,3 oz.,85,87,12,1,0,0,2,"Fish, Seafood",,seafood,4,3 oz.,85,87,12,1,0,0,2,,low
Cod,,3 1/2 oz.,100,170,28,5,0,0,0,"Fish, Seafood",,seafood,4,3.5 oz.,100,170,28,5,0,0,0,,low
Crab meat,,3 oz.,85,90,14,2,0,0,1,"Fish, Seafood",,seafood,4,3 oz.,85,90,14,2,0,0,1,,low
Flounder,,3 1/2 oz.,100,200,30,8,0,0,0,"Fish, Seafood",,seafood,4,3.5 oz.,100,200,30,8,0,0,0,,low
Haddock,,3 oz.,85,135,16,5,4,0,6,"Fish, Seafood",,seafood,4,3 oz.,85,135,16,5,4,0,6,,low
Halibut,,3 1/2 oz.,100,182,26,8,0,0,0,"Fish, Seafood",,seafood,4,3.5 oz.,100,182,26,8,0,0,0,,low
Herring,,1 small,100,211,22,13,0,0,0,"Fish, Seafood",,seafood,4,1 small,100,211,22,13,0,0,0,,low
Lobster,,aver.,100,92,18,1,0,0,t,"Fish, Seafood",,seafood,4,100g,100,92,18,1,0,0,#VALUE!,,low
Mackerel,,3 oz.,85,155,18,9,0,a,0,"Fish, Seafood",,seafood,4,3 oz.,85,155,18,9,0,#VALUE!,0,,low
Oyster stew,,1 cup,85,125,19,6,1,0,0,"Fish, Seafood",,seafood,4,1 cup,85,125,19,6,1,0,0,,low
Salmon,,3 oz.,85,120,17,5,1,0,0,"Fish, Seafood",,seafood,4,3 oz.,85,120,17,5,1,0,0,,low
Sardines,,3 oz.,85,180,22,9,4,0,0,"Fish, Seafood",,seafood,4,3 oz.,85,180,22,9,4,0,0,,low
Scallops,,3 1/2 oz.,100,104,18,8,0,0,10,"Fish, Seafood",,seafood,4,3.5 oz.,100,104,18,8,0,0,10,,low
Shad,,3 oz.,85,170,20,10,0,0,0,"Fish, Seafood",,seafood,4,3 oz.,85,170,20,10,0,0,0,,low
Shrimp,,3 oz.,85,110,23,1,0,0,0,"Fish, Seafood",,seafood,4,3 oz.,85,110,23,1,0,0,0,,low
Swordfish,,1 steak,100,180,27,6,0,0,0,"Fish, Seafood",,seafood,4,100g,100,180,27,6,0,0,0,,low
Tuna,,3 oz.,85,170,25,7,3,0,0,"Fish, Seafood",,seafood,4,3 oz.,85,170,25,7,3,0,0,,low
Artichoke,,1 large,100,39,2,t,t,2,10,Vegetables A-E,,Vegetables,2,100g,100,39,2,#VALUE!,#VALUE!,2,10,,low
Artichoke,,1 large,100,39,2,t,t,2,10,Vegetables A-E,,Vegetables,5,100g,100,39,2,#VALUE!,#VALUE!,2,10,15,low
Asparagus,,6 spears,96,18,1,t,t,0.5,3,Vegetables A-E,,Vegetables,2,100g,100,18,1,#VALUE!,#VALUE!,0.5,3,15,low
Asparagus,,6 spears,96,18,1,t,t,0.5,3,Vegetables A-E,,Vegetables,5,100g,100,18,1,#VALUE!,#VALUE!,0.5,3,15,low
Bean sprouts,,1 cup,50,17,1,t,0,0.3,3,Vegetables A-E,,Vegetables,2,100g,100,34,2,#VALUE!,0,0.6,6,,low
Bean sprouts,,1 cup,50,17,1,t,0,0.3,3,Vegetables A-E,,Vegetables,5,100g,100,34,2,#VALUE!,0,0.6,6,25,low
Beans,,1 cup,125,25,1,t,t,0.8,6,Vegetables A-E,,Vegetables,2,100g,100,20,0.8,#VALUE!,#VALUE!,0.64,4.8,,low
Beet greens,,1 cup,100,27,2,t,0,1.4,6,Vegetables A-E,,Vegetables,2,100g,100,27,2,#VALUE!,0,1.4,6,,low
Beet greens,,1 cup,100,27,2,t,0,1.4,6,Vegetables A-E,,Vegetables,5,100g,100,27,2,#VALUE!,0,1.4,6,,low
Beetroots,,1 cup,165,1,12,0,,t,0.8,Vegetables A-E,,Vegetables,2,100g,100,0.6,7.23,0,0,#VALUE!,0.64,,low
Beetroots,,1 cup,165,1,12,0,,t,0.8,Vegetables A-E,,Vegetables,5,100g,100,0.6,7.23,0,0,#VALUE!,0.64,,low
Broccoli,,1 cup,150,45,5,t,0,1.9,8,Vegetables A-E,,Vegetables,2,100g,100,30,3.33,#VALUE!,0,1.27,5.33,,low
Broccoli,,1 cup,150,45,5,t,0,1.9,8,Vegetables A-E,,Vegetables,5,100g,100,30,3.33,#VALUE!,0,1.27,5.33,30,low
Carrots,,1 cup,150,45,1,t,0,0.9,10,Vegetables A-E,,Vegetables,1,100g,100,30,0.67,#VALUE!,0,0.6,6.67,24,low
Carrots,,1 cup,150,45,1,t,0,0.9,10,Vegetables A-E,,Vegetables,5,100g,100,30,0.67,#VALUE!,0,0.6,6.67,25,low
Cauliflower,,1 cup,120,30,3,t,0,1,6,Vegetables A-E,,Vegetables,2,100g,100,25,2.5,#VALUE!,0,0.83,5,,low
Cauliflower,,1 cup,120,30,3,t,0,1,6,Vegetables A-E,,Vegetables,4,100g,100,25,2.5,#VALUE!,0,0.83,5,,low
Cauliflower,,1 cup,120,30,3,t,0,1,6,Vegetables A-E,,Vegetables,5,100g,100,25,2.5,#VALUE!,0,0.83,5,15,low
Celery,,1 cup,100,20,1,t,0,1,4,Vegetables A-E,,Vegetables,1,100g,100,20,1,#VALUE!,0,1,4,15,low
Celery,,1 cup,100,20,1,t,0,1,4,Vegetables A-E,,Vegetables,5,100g,100,20,1,#VALUE!,0,1,4,15,low
Chard steamed,,1 cup,150,30,2,t,0,1.4,7,Vegetables A-E,,Vegetables,0,100g,100,20,1.33,#VALUE!,0,0.93,4.67,15,low
Collards,,1 cup,150,51,5,t,0,2,8,Vegetables A-E,,Vegetables,1,100g,100,34,3.33,#VALUE!,0,1.33,5.33,15,low
Collards,,1 cup,150,51,5,t,0,2,8,Vegetables A-E,,Vegetables,5,100g,100,34,3.33,#VALUE!,0,1.33,5.33,15,low
Corn,,1 ear,100,92,3,1,t,0.8,21,Vegetables A-E,,Vegetables,2,100g,100,92,3,1,#VALUE!,0.8,21,55,high
Cucumbers,,8,50,6,t,0,0,0.2,1,Vegetables A-E,,Vegetables,1,100g,100,12,#VALUE!,0,0,0.4,2,15,low
Cucumbers,,8,50,6,t,0,0,0.2,1,Vegetables A-E,,Vegetables,5,100g,100,12,#VALUE!,0,0,0.4,2,15,low
Dandelion greens,,1 cup,180,80,5,1,0,3.2,16,Vegetables A-E,,Vegetables,1,100g,100,44.44,2.78,0.56,0,1.78,8.89,15,low
Dandelion greens,,1 cup,180,80,5,1,0,3.2,16,Vegetables A-E,,Vegetables,5,100g,100,44.44,2.78,0.56,0,1.78,8.89,15,low
Eggplant,,1 cup,180,30,2,t,0,1,9,Vegetables A-E,,Vegetables,2,100g,100,16.67,1.11,#VALUE!,0,0.56,5,15,low
"Fresh, steamed peas",,1 cup,100,70,5,t,0,2.2,12,Vegetables R-Z,,Vegetables,0,100g,100,70,5,#VALUE!,0,2.2,12,15,low
Iceberg,,1/4 head,100,13,t,t,0,0.5,3,Vegetables F-P,,Vegetables,1,100g,100,13,#VALUE!,#VALUE!,0,0.5,3,15,low
Iceberg,,1/4 head,100,13,t,t,0,0.5,3,Vegetables F-P,,Vegetables,5,100g,100,13,#VALUE!,#VALUE!,0,0.5,3,15,low
Kale,,1 cup,110,45,4,1,0,0.9,8,Vegetables F-P,,Vegetables,1,100g,100,40.91,3.64,0.91,0,0.82,7.27,15,low
Kale,,1 cup,110,45,4,1,0,0.9,8,Vegetables F-P,,Vegetables,5,100g,100,40.91,3.64,0.91,0,0.82,7.27,15,low
Lentils,,1 cup,200,212,15,t,0,2.4,38,Vegetables F-P,,Vegetables,2,100g,100,106,7.5,#VALUE!,0,1.2,19,32,low
Lettuce,,1/4 head,100,14,1,t,0,0.5,2,Vegetables F-P,,Vegetables,1,100g,100,14,1,#VALUE!,0,0.5,2,15,low
